section,parameter,source_name,source_value,internal_name,internal_value,public_name,public_value,action_type,notes
seed_transform,labour_force_status,LFACT,3-10,labour_force_status,1868.0,labour_force_status,1868,collapse,Collapsed to unemployed.
seed_transform,labour_force_status,LFACT,11-99,labour_force_status,1869.0,labour_force_status,1869,collapse,Collapsed to not in labour force.
seed_transform,household_size,HHSIZE,8,household_size,1.0,household_size,1,collapse,Current harmonization maps code 8 to size 1.
seed_transform,household_size,HHSIZE,>5,household_size,5.0,household_size,5,collapse,All household sizes above 5 become 5plus.
seed_transform,household_income,TotInc,88888888,household_income,,household_income,,drop,Dropped as invalid/missing income code.
seed_transform,household_income,TotInc,99999999,household_income,695.0,household_income,695,collapse,Current harmonization maps this code to the lowest income band.
seed_transform,household_income,TotInc,<20000,household_income,695.0,household_income,695,collapse,Collapsed to lt_20k.
seed_transform,household_income,TotInc,20000-59999,household_income,697.0,household_income,697,collapse,Collapsed to 20k_to_59k.
seed_transform,household_income,TotInc,60000-99999,household_income,701.0,household_income,701,collapse,Collapsed to 60k_to_99k.
seed_transform,household_income,TotInc,>=100000,household_income,705.0,household_income,705,collapse,Collapsed to 100k_plus.
seed_transform,prihm,PRIHM,9,prihm,0.0,prihm,0,collapse,Current harmonization maps code 9 to 0.
seed_transform,family_status,CFSTAT,1,family_status,0.0,family_status,couple_without_children_family_member,collapse,CFSTAT collapsed to harmonized family-status role.
seed_transform,family_status,CFSTAT,2,family_status,1.0,family_status,couple_with_children_family_member,collapse,CFSTAT collapsed to harmonized family-status role.
seed_transform,family_status,CFSTAT,3,family_status,2.0,family_status,one_parent_family_member,collapse,CFSTAT collapsed to harmonized family-status role.
seed_transform,family_status,CFSTAT,4,family_status,1.0,family_status,couple_with_children_family_member,collapse,CFSTAT collapsed to harmonized family-status role.
seed_transform,family_status,CFSTAT,5,family_status,2.0,family_status,one_parent_family_member,collapse,CFSTAT collapsed to harmonized family-status role.
seed_transform,family_status,CFSTAT,6,family_status,4.0,family_status,one_person_household_person,collapse,CFSTAT collapsed to harmonized family-status role.
seed_transform,family_status,CFSTAT,7,family_status,3.0,family_status,non_census_family_person,collapse,CFSTAT collapsed to harmonized family-status role.
seed_transform,family_status,CFSTAT,8,family_status,3.0,family_status,non_census_family_person,collapse,CFSTAT collapsed to harmonized family-status role.
